accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,auc,attribute,model,version,seed,fold,best_params
0.9983457402812241,0.9974087822776997,0.9983431626801141,0.998968008255934,0.9958677685950413,1.0,time_of_day,SVM_RBF,base,7,3,
0.9983457402812241,0.9974087822776997,0.9983431626801141,0.998968008255934,0.9958677685950413,1.0,time_of_day,SVM_RBF,base,123,3,
0.9983457402812241,0.9974087822776997,0.9983431626801141,0.998968008255934,0.9958677685950413,1.0,time_of_day,SVM_RBF,tuned,42,3,"{'clf__C': 1.0, 'clf__gamma': 'scale'}"
0.9983457402812241,0.9974087822776997,0.9983431626801141,0.998968008255934,0.9958677685950413,1.0,time_of_day,SVM_RBF,tuned,7,3,"{'clf__C': 1.0, 'clf__gamma': 'scale'}"
0.9983457402812241,0.9974087822776997,0.9983431626801141,0.998968008255934,0.9958677685950413,1.0,time_of_day,SVM_RBF,tuned,123,3,"{'clf__C': 1.0, 'clf__gamma': 'scale'}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,RandomForest,base,42,3,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,RandomForest,base,7,3,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,RandomForest,base,123,3,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,RandomForest,tuned,42,3,"{'max_depth': None, 'min_samples_split': 5}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,RandomForest,tuned,7,3,"{'max_depth': 10, 'min_samples_split': 5}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,RandomForest,tuned,123,3,"{'max_depth': None, 'min_samples_split': 10}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,base,42,3,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,base,7,3,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,base,123,3,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,tuned,42,3,"{'learning_rate': 0.05, 'max_depth': 3}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,tuned,7,3,"{'learning_rate': 0.05, 'max_depth': 3}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,tuned,123,3,"{'learning_rate': 0.2, 'max_depth': 3}"
0.9652605459057072,0.9488360189267837,0.9662196423716297,0.926765590213225,0.976734297947986,0.9983035203022042,time_of_day,MLP,base,42,3,
0.9644334160463193,0.9478333903630198,0.9654800452316299,0.9245614035087719,0.9777662874870734,0.9967352380626799,time_of_day,MLP,base,7,3,
0.9669148056244831,0.9510010537407798,0.9677462933861861,0.930580562402924,0.9762193714905946,0.9986453801909287,time_of_day,MLP,base,123,3,
0.9652605459057072,0.9488360189267837,0.9662196423716297,0.926765590213225,0.976734297947986,0.9994487509294316,time_of_day,MLP,tuned,42,3,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (64,)}"
0.9611248966087675,0.9432902493720041,0.9623612217122011,0.9186851211072664,0.9756980351602895,0.9972950336304665,time_of_day,MLP,tuned,7,3,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (64,)}"
0.9528535980148883,0.9319566619042023,0.9545690181433776,0.9051756601098706,0.9689783517225465,0.9984146247660397,time_of_day,MLP,tuned,123,3,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (64,)}"
0.9908637873754153,0.9854832751853229,0.9907830429905709,0.99435318275154,0.9771784232365146,0.998668579775339,time_of_day,LogisticRegression,base,42,4,
0.9908637873754153,0.9854832751853229,0.9907830429905709,0.99435318275154,0.9771784232365146,0.998668579775339,time_of_day,LogisticRegression,base,7,4,
