accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,auc,attribute,baseline,seed,fold
0.5268817204301075,0.520908153764299,0.5334305194415124,0.5281434569131147,0.5297714520639958,,vru_present,random,7,3
0.6170388751033913,0.38158567774936064,0.4709063947080613,0.30851943755169564,0.5,,vru_present,majority,7,3
0.5078577336641853,0.49908466165905685,0.5146020327681278,0.5042799073074795,0.5045237667849842,,vru_present,random,123,3
0.6170388751033913,0.38158567774936064,0.4709063947080613,0.30851943755169564,0.5,,vru_present,majority,123,3
0.4950166112956811,0.494743351886209,0.4950166112956811,0.494743351886209,0.494743351886209,,vru_present,random,42,4
0.4883720930232558,0.328125,0.32049418604651164,0.2441860465116279,0.5,,vru_present,majority,42,4
0.4833887043189369,0.48321615974252174,0.48343576193068644,0.4832312192967931,0.4832251082251082,,vru_present,random,7,4
0.4883720930232558,0.328125,0.32049418604651164,0.2441860465116279,0.5,,vru_present,majority,7,4
0.5116279069767442,0.5116225165562913,0.5115847836131218,0.511986301369863,0.5119820655534941,,vru_present,random,123,4
0.4883720930232558,0.328125,0.32049418604651164,0.2441860465116279,0.5,,vru_present,majority,123,4
