accuracy,macro_f1,macro_precision,macro_recall,f1_class_0,f1_class_1,fit_time_sec,fold,attribute,subset,model,seed,n_features,f1_class_2
0.8875,0.47019867549668876,0.5,0.44375,0.9403973509933775,0.0,0.012512445449829102,4,time_of_day,color_only,SVM_RBF,123,96,
0.85,0.4594594594594595,0.5,0.425,0.918918918918919,0.0,0.3825504779815674,4,time_of_day,color_only,RandomForest,42,96,
0.8375,0.4557823129251701,0.5,0.41875,0.9115646258503401,0.0,0.4045085906982422,4,time_of_day,color_only,RandomForest,7,96,
0.8625,0.46308724832214765,0.5,0.43125,0.9261744966442953,0.0,0.4053516387939453,4,time_of_day,color_only,RandomForest,123,96,
0.8625,0.46308724832214765,0.5,0.43125,0.9261744966442953,0.0,0.08863997459411621,4,time_of_day,color_only,XGBoost,42,96,
0.8625,0.46308724832214765,0.5,0.43125,0.9261744966442953,0.0,0.11619400978088379,4,time_of_day,color_only,XGBoost,7,96,
0.8625,0.46308724832214765,0.5,0.43125,0.9261744966442953,0.0,0.1131744384765625,4,time_of_day,color_only,XGBoost,123,96,
0.875,0.4666666666666667,0.5,0.4375,0.9333333333333333,0.0,0.036562442779541016,4,time_of_day,color_only,MLP,42,96,
0.9125,0.477124183006536,0.5,0.45625,0.954248366013072,0.0,0.07009506225585938,4,time_of_day,color_only,MLP,7,96,
0.6625,0.39849624060150374,0.5,0.33125,0.7969924812030075,0.0,0.0329287052154541,4,time_of_day,color_only,MLP,123,96,
0.9625,0.49044585987261147,0.5,0.48125,0.9808917197452229,0.0,0.015289545059204102,4,time_of_day,lbp_only,LogisticRegression,42,26,
0.9625,0.49044585987261147,0.5,0.48125,0.9808917197452229,0.0,0.014725208282470703,4,time_of_day,lbp_only,LogisticRegression,7,26,
0.9625,0.49044585987261147,0.5,0.48125,0.9808917197452229,0.0,0.014521360397338867,4,time_of_day,lbp_only,LogisticRegression,123,26,
0.9875,0.4968553459119497,0.5,0.49375,0.9937106918238994,0.0,0.01394796371459961,4,time_of_day,lbp_only,SVM_RBF,42,26,
0.9875,0.4968553459119497,0.5,0.49375,0.9937106918238994,0.0,0.013013124465942383,4,time_of_day,lbp_only,SVM_RBF,7,26,
0.975,0.4936708860759494,0.5,0.4875,0.9873417721518988,0.0,0.01399683952331543,4,time_of_day,lbp_only,SVM_RBF,123,26,
1.0,1.0,1.0,1.0,1.0,0.0,0.39130640029907227,4,time_of_day,lbp_only,RandomForest,42,26,
1.0,1.0,1.0,1.0,1.0,0.0,0.38618898391723633,4,time_of_day,lbp_only,RandomForest,7,26,
1.0,1.0,1.0,1.0,1.0,0.0,0.3884010314941406,4,time_of_day,lbp_only,RandomForest,123,26,
0.975,0.4936708860759494,0.5,0.4875,0.9873417721518988,0.0,0.07058453559875488,4,time_of_day,lbp_only,XGBoost,42,26,
0.9625,0.49044585987261147,0.5,0.48125,0.9808917197452229,0.0,0.07609081268310547,4,time_of_day,lbp_only,XGBoost,7,26,
0.975,0.4936708860759494,0.5,0.4875,0.9873417721518988,0.0,0.07658696174621582,4,time_of_day,lbp_only,XGBoost,123,26,
