accuracy,macro_f1,macro_precision,macro_recall,f1_class_0,f1_class_1,fold,attribute,model,version,seed,split,fit_time_sec,predict_time_test_sec,best_params,f1_class_2
0.5061728395061729,0.37596302003081666,0.5833333333333333,0.511890243902439,0.09090909090909091,0.6610169491525424,0,time_of_day,MLP,tuned,7,test,1.983142614364624,0.0015056133270263672,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64]}",
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,MLP,tuned,123,train,1.8285486698150635,0.001997709274291992,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128]}",
0.5432098765432098,0.4587321654325447,0.6352739726027397,0.548170731707317,0.24489795918367346,0.672566371681416,0,time_of_day,MLP,tuned,123,test,1.8285486698150635,0.001997709274291992,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128]}",
1.0,1.0,1.0,1.0,1.0,1.0,0,vehicle_density,LogisticRegression,base,42,train,0.2964460849761963,0.0009999275207519531,{},1.0
0.24691358024691357,0.2963488543976349,0.5504273504273504,0.47480029048656497,0.56,0.2926829268292683,0,vehicle_density,LogisticRegression,base,42,test,0.2964460849761963,0.0009999275207519531,{},0.03636363636363636
1.0,1.0,1.0,1.0,1.0,1.0,0,vehicle_density,LogisticRegression,base,7,train,0.2948319911956787,0.0015072822570800781,{},1.0
0.24691358024691357,0.2963488543976349,0.5504273504273504,0.47480029048656497,0.56,0.2926829268292683,0,vehicle_density,LogisticRegression,base,7,test,0.2948319911956787,0.0015072822570800781,{},0.03636363636363636
1.0,1.0,1.0,1.0,1.0,1.0,0,vehicle_density,LogisticRegression,base,123,train,0.28103041648864746,0.0010042190551757812,{},1.0
0.24691358024691357,0.2963488543976349,0.5504273504273504,0.47480029048656497,0.56,0.2926829268292683,0,vehicle_density,LogisticRegression,base,123,test,0.28103041648864746,0.0010042190551757812,{},0.03636363636363636
0.9287925696594427,0.9324166064294159,0.9357503607503608,0.9296005064893954,0.9322709163346613,0.9029535864978903,0,vehicle_density,SVM_RBF,base,42,train,0.09710240364074707,0.03904390335083008,{},0.9620253164556962
0.18518518518518517,0.1469098277608916,0.14393939393939395,0.3078431372549019,0.14285714285714285,0.2978723404255319,0,vehicle_density,SVM_RBF,base,42,test,0.09710240364074707,0.03904390335083008,{},0.0
0.9287925696594427,0.9324166064294159,0.9357503607503608,0.9296005064893954,0.9322709163346613,0.9029535864978903,0,vehicle_density,SVM_RBF,base,7,train,0.0941305160522461,0.03853631019592285,{},0.9620253164556962
0.18518518518518517,0.1469098277608916,0.14393939393939395,0.3078431372549019,0.14285714285714285,0.2978723404255319,0,vehicle_density,SVM_RBF,base,7,test,0.0941305160522461,0.03853631019592285,{},0.0
0.9287925696594427,0.9324166064294159,0.9357503607503608,0.9296005064893954,0.9322709163346613,0.9029535864978903,0,vehicle_density,SVM_RBF,base,123,train,0.10400533676147461,0.045037031173706055,{},0.9620253164556962
0.18518518518518517,0.1469098277608916,0.14393939393939395,0.3078431372549019,0.14285714285714285,0.2978723404255319,0,vehicle_density,SVM_RBF,base,123,test,0.10400533676147461,0.045037031173706055,{},0.0
1.0,1.0,1.0,1.0,1.0,1.0,0,vehicle_density,RandomForest,base,42,train,0.09849309921264648,0.017519474029541016,{},1.0
0.19753086419753085,0.19444444444444445,0.13076923076923078,0.38235294117647056,0.2777777777777778,0.3055555555555556,0,vehicle_density,RandomForest,base,42,test,0.09849309921264648,0.017519474029541016,{},0.0
1.0,1.0,1.0,1.0,1.0,1.0,0,vehicle_density,RandomForest,base,7,train,0.0971367359161377,0.01752328872680664,{},1.0
0.1728395061728395,0.1326931470973374,0.08743633276740237,0.28823529411764703,0.06896551724137931,0.3291139240506329,0,vehicle_density,RandomForest,base,7,test,0.0971367359161377,0.01752328872680664,{},0.0
1.0,1.0,1.0,1.0,1.0,1.0,0,vehicle_density,RandomForest,base,123,train,0.10088062286376953,0.01620173454284668,{},1.0
0.20987654320987653,0.17843459222769567,0.13203463203463203,0.3607843137254902,0.19047619047619047,0.3448275862068966,0,vehicle_density,RandomForest,base,123,test,0.10088062286376953,0.01620173454284668,{},0.0
1.0,1.0,1.0,1.0,1.0,1.0,0,vehicle_density,XGBoost,base,42,train,7.776466608047485,0.002999544143676758,{},1.0
0.2222222222222222,0.2433065595716198,0.1847041847041847,0.4215686274509804,0.4166666666666667,0.3132530120481928,0,vehicle_density,XGBoost,base,42,test,7.776466608047485,0.002999544143676758,{},0.0
